id,index,diff,type,claim/issue,correctness (1/0/-1),additional claims,old_file,new_file
,,,issue,"line 96, col 36, 'rest operator' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 96, col 43, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 96, col 69, 'spread operator' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 97, col 43, 'rest operator' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 97, col 50, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 97, col 83, 'spread operator' is only available in ES6 (use 'esversion: 6').",,,,
35758,8350,"@@ -33,6 +33,8 @@ let baseModuleStore = Modules.createModuleStore( 'tagmanager', {
 		'internalAMPContainerID',
 		'useSnippet',
 		'ownerID',
+		'gaAMPPropertyID',
+		'gaPropertyID',
 	],
 	submitChanges,
 	validateCanSubmitChanges,",claim,The code change adds two new lines to the array of module names,,,test8350_old.js,test8350_new.js
,,,claim,These new lines are 'gaAMPPropertyID' and 'gaPropertyID',,,,
,,,claim,This suggests that the code now includes support for two new modules: 'gaAMPPropertyID' and 'gaPropertyID'.,,,,
,,,issue,"line 39, col 5, 'object short notation' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 40, col 5, 'object short notation' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
14051,6146,"@@ -204,5 +204,4 @@ function server (inputCompanionOptions = {}) {
   return { app, companionOptions }
 }
 
-const { app, companionOptions } = server()
-module.exports = { app, companionOptions, server }
+module.exports = { server }",claim,The code change represented by the GIT DIFF removes two lines of code and adds one line,,,test6146_old.js,test6146_new.js
,,,claim,"The removed lines were importing the ""app"" and ""companionOptions"" from the ""server"" function and then exporting them",,,,
,,,claim,"The added line is simply exporting the ""server"" function itself",,,,
,,,claim,"This suggests that the ""app"" and ""companionOptions"" are no longer needed to be exported from the ""server"" function.",,,,
,,,issue,"line 204, col 12, 'object short notation' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 204, col 17, 'object short notation' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 204, col 35, Missing semicolon.",,,,
,,,issue,"line 207, col 20, 'object short notation' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 207, col 28, Missing semicolon.",,,,
24612,5890,"@@ -0,0 +1,19 @@
+
+import { wpApiFetch } from './wp-api-fetch';
+
+import { testClientConfig } from './test-client-config';
+
+/**
+ *
+ * @param {*} config
+ */
+export async function setClientConfig( config = testClientConfig ) {
+	return await wpApiFetch( {
+		path: 'google-site-kit/v1/e2e/auth/client-config',
+		method: 'post',
+		data: {
+			clientID: config.web.client_id,
+			clientSecret: config.web.client_secret,
+		},
+	} );
+}",claim,The GIT DIFF shows that a new file has been added,,,test5890_old.js,test5890_new.js
,,,claim,"This file imports two functions, 'wpApiFetch' and 'testClientConfig', and defines an asynchronous function 'setClientConfig'",,,,
,,,claim,"The function takes an optional parameter 'config', which defaults to 'testClientConfig'",,,,
,,,claim,The function uses 'wpApiFetch' to make a POST request to the 'google-site-kit/v1/e2e/auth/client-config' endpoint with the client ID and client secret from the 'config' object.,,,,
,,,issue,"line 2, col 1, 'import' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 4, col 1, 'import' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 10, col 1, 'export' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 10, col 47, 'default parameters' is only available in ES6 (use 'esversion: 6').",,,,
12872,2830,"@@ -87,11 +87,11 @@ export function diff(dom, parentDom, newVNode, oldVNode, context, isSvg, excessD
 			c._vnode = newVNode;
 
 			// Invoke getDerivedStateFromProps
-			let s = c._nextState || c.state;
+			if (c._nextState==null) {
+				c._nextState = c.state;
+			}
 			if (newType.getDerivedStateFromProps!=null) {
-				oldState = assign({}, c.state);
-				if (s===c.state) s = c._nextState = assign({}, s);
-				assign(s, newType.getDerivedStateFromProps(newVNode.props, s));
+				c.setState(newType.getDerivedStateFromProps(newVNode.props, c._nextState));
 			}
 
 			// Invoke pre-render lifecycle methods",claim,The code changes in the GIT DIFF replace a block of code that was handling the getDerivedStateFromProps method,,,test2830_old.js,test2830_new.js
,,,claim,"The original code was assigning the state to a variable, checking if the state was the same as the next state, and if so, assigning the next state to a new object",,,,
,,,claim,"The new code instead checks if the next state is null and if so, assigns the current state to the next state",,,,
,,,claim,It then calls the setState method with the result of the getDerivedStateFromProps method applied to the new node's props and the current next state,,,,
,,,claim,This change simplifies the code and makes it more readable.,,,,
11952,8357,"@@ -68,13 +68,14 @@ export function renderComponent(component, opts, mountAll, isChild) {
 		state = component.state,
 		context = component.context,
 		previousProps = component.prevProps || props,
-		previousState = component.prevState || state,
+		previousState = extend({}, component.prevState || state),
 		previousContext = component.prevContext || context,
 		isUpdate = component.base,
 		nextBase = component.nextBase,
 		initialBase = isUpdate || nextBase,
 		initialChildComponent = component._component,
 		skip = false,
+		snapshot = previousContext,
 		rendered, inst, cbase;
 
 	if (component.constructor.getDerivedStateFromProps) {",claim,"The code changes in this GIT DIFF involve modifying the way the ""previousState"" variable is assigned",,,test8357_old.js,test8357_new.js
,,,claim,"Previously, it was directly assigned the value of ""component.prevState || state""",,,,
,,,claim,"Now, it is assigned a new object created by extending the existing ""component.prevState || state"" object",,,,
,,,claim,"Additionally, a new variable ""snapshot"" is also assigned the value of ""previousContext""",,,,
,,,claim,"This suggests that the ""previousState"" object is now being cloned to prevent mutation, and a snapshot of the ""previousContext"" is being maintained for later use.",,,,
17726,6426,"@@ -2,6 +2,7 @@
  * and will be replaced soon by a Vue component.
  */
 
+/* eslint-disable no-var */
 import browser from 'browser';
 import dom from 'dom';
 import 'css!./navdrawer';",claim,"The code change represented by the GIT DIFF adds a new line of code that disables the ESLint rule for the ""no-var"" error",,,test6426_old.js,test6426_new.js
,,,claim,This means that the code will not enforce the rule that disallows the use of the var keyword.,,,,
,,,issue,"line 6, col 1, 'import' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 7, col 1, 'import' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 8, col 1, 'import' is only available in ES6 (use 'esversion: 6').",,,,
10707,4604,"@@ -380,8 +380,15 @@ class RemoteConnection(object):
             # Authorization header
             headers[""Authorization""] = ""Basic %s"" % auth
 
-        self._conn.request(method, parsed_url.path, data, headers)
-        resp = self._conn.getresponse()
+        if body and method != 'POST' and method != 'PUT':
+            body = None
+        try:
+          self._conn.request(method, parsed_url.path, body, headers)
+          resp = self._conn.getresponse()
+        except httplib.HTTPException:
+          self._conn.close()
+          raise
+
         statuscode = resp.status
         statusmessage = resp.msg
         LOGGER.debug('%s %s' % (statuscode, statusmessage))",claim,The code changes include the addition of a conditional statement to check if the 'body' variable is not empty and the 'method' is not 'POST' or 'PUT',,,test4604_old.js,test4604_new.js
,,,claim,"If these conditions are met, the 'body' variable is set to None",,,,
,,,claim,A try block is then added to make a request to the server with the updated 'body' variable,,,,
,,,claim,"If a httplib.HTTPException is encountered, the connection is closed and the exception is re-raised",,,,
,,,claim,This change is likely made to prevent unnecessary requests and handle potential errors.,,,,
25369,6397,"@@ -31,7 +31,7 @@ storiesOf( 'Global', module )
 				title={ __( 'Top content over the last 28 days', 'google-site-kit' ) }
 				headerCtaLink=""https://analytics.google.com""
 				headerCtaLabel={ __( 'See full stats in Analytics', 'google-site-kit' ) }
-				footerCtaLabel={ __( 'Analytics', 'google-site-kit' ) }
+				footerCtaLabel={ _x( 'Analytics', 'Service name', 'google-site-kit' ) }
 				footerCtaLink=""https://analytics.google.com""
 			>
 				<AnalyticsDashboardWidgetTopPagesTable />",claim,The code change in the GIT DIFF modifies the label for the footer CTA (Call to Action) in the code,,,test6397_old.js,test6397_new.js
,,,claim,"Originally, the label was ""Analytics""",,,,
,,,claim,"The updated label, however, is now translated to ""Service name"" using the _x function",,,,
,,,claim,This suggests that the code is now supporting internationalization and the label for the footer CTA is now being localized based on the user's language preference.,,,,
15111,4259,"@@ -18,10 +18,14 @@ const handleCallback = require('../utils').handleCallback;
 const indexInformationDb = require('./db_ops').indexInformation;
 const isObject = require('../utils').isObject;
 const Long = require('mongodb-core').BSON.Long;
+const makeLazyLoader = require('../utils').makeLazyLoader;
 const MongoError = require('mongodb-core').MongoError;
 const ReadPreference = require('mongodb-core').ReadPreference;
 const toError = require('../utils').toError;
 
+const collLoader = makeLazyLoader(`${__dirname}/../collection`);
+const dbLoader = makeLazyLoader(`${__dirname}/../db`);
+
 /**
  * Group function helper
  * @ignore",claim,The code changes include the addition of a new line to import the 'makeLazyLoader' function from the '../utils' module,,,test4259_old.js,test4259_new.js
,,,claim,"Two new variables, 'collLoader' and 'dbLoader', are then created by calling 'makeLazyLoader' with the paths to the '../collection' and '../db' directories, respectively",,,,
,,,claim,"These new variables are then used to load the collection and database modules lazily, which can improve the performance of the application by reducing the number of required resources at startup.",,,,
,,,issue,"line 18, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 19, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 20, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 21, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 22, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 23, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 24, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 26, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 26, col 35, 'template literal syntax' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 27, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 27, col 33, 'template literal syntax' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 18, col 28, 'require' is not defined.",,,,
,,,issue,"line 19, col 18, 'require' is not defined.",,,,
,,,issue,"line 20, col 14, 'require' is not defined.",,,,
,,,issue,"line 21, col 24, 'require' is not defined.",,,,
,,,issue,"line 22, col 20, 'require' is not defined.",,,,
,,,issue,"line 23, col 24, 'require' is not defined.",,,,
,,,issue,"line 24, col 17, 'require' is not defined.",,,,
,,,issue,"line 26, col 38, '__dirname' is not defined.",,,,
,,,issue,"line 27, col 36, '__dirname' is not defined.",,,,
12707,3853,"@@ -44,9 +44,12 @@ module.exports = class Client {
       body: data
     }).then((response) => response.json()).then((assembly) => {
       if (assembly.error) {
-        const error = new Error(assembly.error)
+        const error = new Error(assembly)
         error.message = assembly.error
-        error.details = assembly.reason
+        error.details = assembly.message
+        if (assembly.assembly_id) {
+          error.details += ' ' + `assembly_id: ${assembly.assembly_id}`
+        }
         throw error
       }
 ",claim,The code changes in the GIT DIFF modify the error handling in the Client class,,,test3853_old.js,test3853_new.js
,,,claim,The original code was creating a new Error object with the error message from the assembly object and setting the error details to the reason from the assembly object,,,,
,,,claim,The updated code is creating a new Error object with the entire assembly object as the error message and setting the error details to the message from the assembly object,,,,
,,,claim,"If the assembly object has an assembly_id, it is appended to the error details",,,,
,,,claim,This change provides more detailed error information.,,,,
,,,issue,"line 45, col 22, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 45, col 58, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 47, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 47, col 42, Missing semicolon.",,,,
,,,issue,"line 48, col 39, Missing semicolon.",,,,
,,,issue,"line 49, col 41, Missing semicolon.",,,,
,,,issue,"line 51, col 34, 'template literal syntax' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 51, col 72, Missing semicolon.",,,,
,,,issue,"line 53, col 20, Missing semicolon.",,,,
15182,2396,"@@ -93,7 +93,7 @@ function setProperty(dom, name, value, oldValue, isSvg) {
 		}
 	}
 	// Benchmark for comparison: https://esbench.com/bench/574c954bdb965b9a00965ac6
-	else if (name[0] === 'o' && name[1] === 'n') {
+	else if (name.slice(0, 2) === 'on') {
 		let useCapture = name !== (name = name.replace(/Capture$/, ''));
 		let nameLower = name.toLowerCase();
 		name = (nameLower in dom ? nameLower : name).slice(2);",claim,The code change in the GIT DIFF modifies an existing conditional statement,,,test2396_old.js,test2396_new.js
,,,claim,The original condition checked if the first two characters of the variable 'name' were 'o' and 'n',,,,
,,,claim,The updated condition checks if the first two characters of 'name' match the string 'on',,,,
,,,claim,This change simplifies the condition and makes it more readable.,,,,
,,,issue,"line 97, col 9, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 98, col 9, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
16810,1454,"@@ -22,5 +22,7 @@ describe('Client Side Encryption', function() {
     return testContext.setup(this.configuration);
   });
 
-  generateTopologyTests(testSuites, testContext);
+  generateTopologyTests(testSuites, testContext, spec => {
+    return !spec.description.match(/type=regex/);
+  });
 });",claim,"The code change in the GIT DIFF modifies the function call to ""generateTopologyTests""",,,test1454_old.js,test1454_new.js
,,,claim,The updated function call now includes a callback function as an additional argument,,,,
,,,claim,"This callback function checks if the test description matches the regex pattern ""/type=regex/""",,,,
,,,claim,"If it does, the function returns false, which will exclude the test from the topology tests",,,,
,,,claim,This change allows for more control over which tests to include in the topology tests.,,,,
,,,issue,"line 25, col 55, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').",,,,
16461,5610,"@@ -213,7 +213,6 @@ const CASE_TRANSLATION = {
   tlscafile: 'tlsCAFile',
   tlscertificatekeyfile: 'tlsCertificateKeyFile',
   tlscertificatekeyfilepassword: 'tlsCertificateKeyFilePassword',
-  wtimeout: 'wTimeoutMS',
   j: 'journal'
 };
 ",claim,The code change represented by the GIT DIFF removes a line of code that was previously mapping the key 'wtimeout' to the value 'wTimeoutMS',,,test5610_old.js,test5610_new.js
,,,claim,This suggests that the 'wtimeout' key is no longer used in the CASE_TRANSLATION object.,,,,
26815,5405,"@@ -61,7 +61,7 @@ class AdSenseSetupWidget extends Component {
 
 	async getAccounts() {
 		try {
-			const responseData = await data.get( TYPE_MODULES, 'adsense', 'accounts' );
+			const responseData = await data.get( TYPE_MODULES, 'adsense', 'accounts', { maybeSetAccount: true } );
 
 			/**
 			 * Defines the account status. Possible values:",claim,The code change in the GIT DIFF modifies the parameters of the 'get' function call,,,test5405_old.js,test5405_new.js
,,,claim,"Originally, the function was called with three parameters: TYPE_MODULES, 'adsense', 'accounts'",,,,
,,,claim,The updated code now includes an additional parameter: { maybeSetAccount: true },,,,
,,,claim,"This suggests that the 'get' function has been updated to handle an additional option or configuration for setting an account, possibly in the context of AdSense.",,,,
,,,issue,"line 62, col 5, 'async functions' is only available in ES8 (use 'esversion: 8').",,,,
,,,issue,"line 64, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
15097,958,"@@ -0,0 +1,17 @@
+/**
+ * Memoize a function.
+ * @method memoize
+ * @memberof axe.utils
+ * @param {Function} fn Function to memoize
+ * @return {Function}
+ */
+axe._memoizedFns = [];
+axe.utils.memoize = function(fn) {
+	// keep track of each function that is memoized so it can be cleared at
+	// the end of a run. each memoized function has its own cache, so there is
+	// no method to clear all memoized caches. instead, we have to clear each
+	// individual memoized function ourselves.
+	const memoized = axe.imports.memoize(fn);
+	axe._memoizedFns.push(memoized);
+	return memoized;
+};",claim,"The GIT DIFF shows the addition of a new function named ""memoize"" in the ""axe.utils"" namespace",,,test958_old.js,test958_new.js
,,,claim,This function takes a function as an argument and returns a memoized version of that function,,,,
,,,claim,"The memoized function is then added to the ""_memoizedFns"" array, which is used to keep track of all memoized functions",,,,
,,,claim,This function is used to optimize performance by storing the results of expensive function calls and reusing them when the same inputs occur again.,,,,
,,,issue,"line 14, col 5, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
16753,8415,"@@ -18,7 +18,7 @@ function pageNoDuplicateEvaluate(node, options, virtualNode) {
   cache.set(key, true);
 
   let elms = querySelectorAllFilter(axe._tree[0], options.selector, elm =>
-    isVisible(elm.actualNode)
+    isVisible(elm.actualNode, true)
   );
 
   // Filter elements that, within certain contexts, don't map their role.",claim,"The code change in the GIT DIFF modifies the function call to ""isVisible""",,,test8415_old.js,test8415_new.js
,,,claim,"The original call passed ""elm.actualNode"" as an argument, but the updated call now passes ""elm.actualNode"" and ""true"" as arguments",,,,
,,,claim,This suggests that the visibility of the element is now being checked in a different context.,,,,
,,,issue,"line 20, col 3, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 20, col 73, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').",,,,
16864,516,"@@ -47,13 +47,13 @@ class Selection {
      */
     this.selectedByCorner = false;
     /**
-     * The collection of the selection layer levels where the whole row was selected using the row header.
+     * The collection of the selection layer levels where the whole row was selected using the row header or the corner header.
      *
      * @type {Set.<number>}
      */
     this.selectedByRowHeader = new Set();
     /**
-     * The collection of the selection layer levels where the whole column was selected using the column header.
+     * The collection of the selection layer levels where the whole column was selected using the column header or the corner header.
      *
      * @type {Set.<number>}
      */",claim,The code changes in the GIT DIFF modify two comment lines,,,test516_old.js,test516_new.js
,,,claim,The changes indicate that the selection of the row or the corner header is now considered when determining the selection layer levels for the whole row and the whole column,,,,
,,,claim,"Previously, the selection was only considered when the row or column header was used individually.",,,,
15884,9584,"@@ -87,6 +87,7 @@ function buildRules(grunt, options, commons, callback) {
 		var tags = options.tags ? options.tags.split(/\s*,\s*/) : [];
 		var rules = result.rules;
 		var checks = result.checks;
+		parseChecks(checks);
 
 		// Translate checks
 		if (locale && locale.checks) {",claim,"The code change adds a new line that calls the function ""parseChecks"" with the variable ""checks"" as an argument",,,test9584_old.js,test9584_new.js
,,,claim,This suggests that the code now has a new functionality to parse checks.,,,,
14195,1220,"@@ -255,6 +255,10 @@ function diffElementNodes(dom, newVNode, oldVNode, context, isSvg, excessDomChil
 		// (as above, don't diff props during hydration)
 		if (!isHydrating) {
 			if (('value' in newProps) && newProps.value!==undefined && newProps.value !== dom.value) dom.value = newProps.value==null ? '' : newProps.value;
+			// preact/#1899
+			// We need this value for input masking.
+			dom._lastValue = dom.value;
+
 			if (('checked' in newProps) && newProps.checked!==undefined && newProps.checked !== dom.checked) dom.checked = newProps.checked;
 		}
 	}",claim,"The code change adds a new line that stores the current value of the DOM element in a new property ""_lastValue""",,,test1220_old.js,test1220_new.js
,,,claim,"This is done for input masking purposes, as mentioned in the comment",,,,
,,,claim,"The comment also indicates that this change is related to the issue or bug mentioned in the comment, which is likely to do with input masking.",,,,
14470,1668,"@@ -139,6 +139,13 @@ describe('text.formControlValue', function() {
 				axe.utils
 					.querySelectorAll(axe._tree[0], '#fixture input')
 					.forEach(function(target) {
+						// Safari and IE11 do not support the color input type
+						// and thus treat them as text inputs. ignore fallback
+						// inputs
+						if (target.actualNode.type === 'text') {
+							return;
+						}
+
 						assert.equal(
 							nativeTextboxValue(target),
 							'',",claim,The code change adds a new condition to ignore fallback inputs in the test,,,test1668_old.js,test1668_new.js
,,,claim,It checks if the type of the actual node is 'text',,,,
,,,claim,"If it is, the function returns immediately",,,,
,,,claim,This is because Safari and IE11 do not support the color input type and thus treat them as text inputs.,,,,
18489,6873,"@@ -320,6 +320,7 @@ export class TopOverlay extends Overlay {
       return this.wot.wtTable.holderOffset.top;
 
     }
+
     return 0;
 
   }",claim,The code change represented by the GIT DIFF adds a new line break after the return statement of the function,,,test6873_old.js,test6873_new.js
,,,claim,This is a minor change and does not affect the functionality of the code,,,,
,,,claim,It may be done for style consistency or to adhere to a specific coding standard.,,,,
15098,1728,"@@ -3,6 +3,7 @@
 
 // Clean up after resolve / reject
 function cleanup() {
+	axe._memoizedFns.forEach(fn => fn.clear());
 	axe._cache.clear();
 	axe._tree = undefined;
 	axe._selectorData = undefined;",claim,"The code change adds a new line that calls the ""forEach"" method on ""axe._memoizedFns"" and then calls the ""clear"" method on each function in the array",,,test1728_old.js,test1728_new.js
,,,claim,"This suggests that the code is now clearing all memoized functions in ""axe._memoizedFns"" before proceeding with the rest of the cleanup process.",,,,
,,,issue,"line 6, col 33, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').",,,,
18174,8814,"@@ -59,6 +59,13 @@ public class NodeStatus {
     }
   }
 
+  public boolean hasCapability(Capabilities caps) {
+    long count = slots.stream()
+        .filter(slot -> slot.isSupporting(caps))
+        .count();
+    return count > 0;
+  }
+
   public boolean hasCapacity() {
     return slots.stream().anyMatch(slot -> !slot.getSession().isPresent());
   }",claim,"The code change added a new method called ""hasCapability"" to the ""NodeStatus"" class",,,test8814_old.js,test8814_new.js
,,,claim,"This method takes a parameter of type ""Capabilities"" and returns a boolean value",,,,
,,,claim,The method uses a stream to filter the slots that support the given capabilities and then counts the number of such slots,,,,
,,,claim,"If the count is greater than 0, it returns true, indicating that the node has the capability.",,,,
13395,7495,"@@ -44,7 +44,7 @@ var PrivateKey = function PrivateKey(data, network, compressed) {
   };
 
   // detect type of data
-  if (!data){
+  if (typeof(data) === 'undefined' || data === 'random'){
     info.bn = PrivateKey._getRandomBN();
   } else if (data instanceof BN) {
     info.bn = data;",claim,The code change in the GIT DIFF modifies an existing conditional statement,,,test7495_old.js,test7495_new.js
,,,claim,The original condition checked if the 'data' variable was not set,,,,
,,,claim,The updated condition checks if the 'data' variable is either undefined or equal to 'random',,,,
,,,claim,This change allows for more flexibility in handling different types of 'data' inputs.,,,,
12235,4523,"@@ -69,7 +69,8 @@ module.exports = class Webcam extends Plugin {
         'picture'
       ],
       mirror: true,
-      facingMode: 'user'
+      facingMode: 'user',
+      preferredMimeType: null
     }
 
     // merge default options with the ones set by user",claim,"The code change adds a new line to set the ""preferredMimeType"" to null",,,test4523_old.js,test4523_new.js
,,,claim,This suggests that the default MIME type is now being used instead of the previously specified MIME type.,,,,
,,,issue,"line 74, col 6, Missing semicolon.",,,,
21152,6561,"@@ -51,9 +51,9 @@ if (options.arch) {
 
 const buildType = options.buildType;
 
-const ndkPath = process.env[""ANDROID_NDK""];
+const ndkPath = process.env[""ANDROID_NDK""] || process.env[""ANDROID_NDK_HOME""];
 if (!ndkPath) {
-  throw Error(""ANDROID_NDK environment variable not set"");
+  throw Error(""ANDROID_NDK / ANDROID_NDK_HOME environment variable not set"");
 }
 
 const sdkPath = getAndroidSdkPath();",claim,"The code change in the GIT DIFF modifies how the ""ndkPath"" variable is assigned",,,test6561_old.js,test6561_new.js
,,,claim,"Previously, it was directly assigned the value of the ""ANDROID_NDK"" environment variable",,,,
,,,claim,"Now, it first tries to assign the value of the ""ANDROID_NDK"" environment variable",,,,
,,,claim,"If this fails (i.e., if the ""ANDROID_NDK"" environment variable is not set), it then attempts to assign the value of the ""ANDROID_NDK_HOME"" environment variable",,,,
,,,claim,"If this also fails, it throws an error indicating that both ""ANDROID_NDK"" and ""ANDROID_NDK_HOME"" environment variables are not set.",,,,
,,,issue,"line 52, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 54, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 54, col 28, ['ANDROID_NDK'] is better written in dot notation.",,,,
,,,issue,"line 54, col 58, ['ANDROID_NDK_HOME'] is better written in dot notation.",,,,
,,,issue,"line 59, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
15371,689,"@@ -927,7 +927,7 @@ export default function Core(rootElement, userSettings, rootInstanceSymbol = fal
     if (isFunction(beforeChangeResult)) {
       warn('Your beforeChange callback returns a function. It\'s not supported since Handsontable 0.12.1 (and the returned function will not be executed).');
 
-    } else if (beforeChangeResult === false) {
+    } else if (beforeChangeResult === false || beforeChangeResult.length === 0 || beforeChangeResult[0] === null) {
       const activeEditor = instance.getActiveEditor();
 
       if (activeEditor) {",claim,The code change in the GIT DIFF modifies an existing conditional statement,,,test689_old.js,test689_new.js
,,,claim,"The updated condition now checks if the ""beforeChangeResult"" is either false, an empty array, or the first element of the ""beforeChangeResult"" array is null",,,,
,,,claim,"This change broadens the scope of the ""beforeChangeResult"" validation in the code.",,,,
,,,issue,"line 931, col 7, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
20706,4122,"@@ -473,6 +473,7 @@ describe('GridFS Stream', function () {
                     // Fail if user tries to abort an aborted stream
                     uploadStream.abort().then(null, function (error) {
                       expect(error.toString()).to.equal(
+                        // TODO(NODE-3405): Replace with MongoStreamClosedError
                         'MongoDriverError: Cannot call abort() on a stream twice'
                       );
                       client.close(done);",claim,The code change adds a comment line that suggests replacing the current error message with a more specific error message,,,test4122_old.js,test4122_new.js
,,,claim,"The comment indicates that the current error message is ""MongoDriverError: Cannot call abort() on a stream twice"" and suggests replacing it with ""MongoStreamClosedError""",,,,
,,,claim,This change is likely a placeholder or temporary solution until a more specific error message is implemented.,,,,
12721,4078,"@@ -10,11 +10,14 @@ import options from '../options';
  * @param {boolean} isSvg Whether or not this node is an SVG node
  */
 export function diffProps(dom, newProps, oldProps, isSvg) {
-	for (let i in newProps) {
-		if (i!=='children' && i!=='key' && (!oldProps || ((i==='value' || i==='checked') ? dom : oldProps)[i]!==newProps[i])) {
-			setProperty(dom, i, newProps[i], oldProps[i], isSvg);
+	let keys = Object.keys(newProps).sort();
+	for (let i = 0; i < keys.length; i++) {
+		let k = keys[i];
+		if (k!=='children' && k!=='key' && (!oldProps || ((k==='value' || k==='checked') ? dom : oldProps)[k]!==newProps[k])) {
+			setProperty(dom, k, newProps[k], oldProps[k], isSvg);
 		}
 	}
+
 	for (let i in oldProps) {
 		if (i!=='children' && i!=='key' && (!newProps || !(i in newProps))) {
 			setProperty(dom, i, null, oldProps[i], isSvg);",claim,The code change in the GIT DIFF modifies the way the properties are being iterated over in the `diffProps` function,,,test4078_old.js,test4078_new.js
,,,claim,"Instead of directly iterating over the `newProps` object, the keys are now sorted and then iterated over",,,,
,,,claim,This change could potentially improve the performance of the function by reducing the number of iterations and potentially improving the order of operations.,,,,
,,,issue,"line 12, col 1, 'export' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 13, col 5, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 14, col 10, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 15, col 9, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 21, col 10, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
14370,9649,"@@ -30,7 +30,7 @@ function ariaOwns(nodes, role) {
 		if (nodes[index] === null) {
 			continue;
 		}
-		let virtualTree = axe.utils.getNodeFromTree(axe._tree[0], nodes[index]);
+		let virtualTree = axe.utils.getNodeFromTree(nodes[index]);
 		if (owns(nodes[index], virtualTree, role, true)) {
 			return true;
 		}",claim,"The code change in the GIT DIFF modifies how the ""virtualTree"" variable is assigned",,,test9649_old.js,test9649_new.js
